Part,Value,Device,Package,Description,CATEGORY,DESCRIPTION,HEAT-SINK,MANUFACTURER,MF,MPN,OC_FARNELL,OC_NEWARK,OPERATING_TEMP,OPERTAING_TEMP,PART_STATUS,POPULARITY,ROHS_COMPLIANT,SERIES,SPICEPREFIX,SUB-CATEGORY,THERMALLOSS,TYPE
C1,22p,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,
C2,22p,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,
C3,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C4,10u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C5,10u,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C6,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C7,4u7,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C8,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C9,10u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C10,10u,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C11,4u7,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C12,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C13,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C14,10u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C15,10u,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C16,2.2u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C17,2.2u,C-EUC1206,C1206,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C18,100n,CAP0603-CAP,0603-CAP,Capacitor,,,,,,,,,,,,,,,,,,
C19,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C20,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C21,1u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C22,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C23,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C24,1u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C25,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C26,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C27,1u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C28,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C29,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C30,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C31,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C32,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C33,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C34,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C35,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C36,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C37,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C38,10u,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C39,10u,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C40,10u,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C41,10u,CPOL-EU153CLV-0810,153CLV-0810,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,4,,,C,,,
C42,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C43,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C44,~0,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C45,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C46,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C47,1u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C48,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C49,100n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C50,1u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C52,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C53,1u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C54,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C55,10u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C57,10n,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
C58,10u,C-EUC0805,C0805,"CAPACITOR, European symbol",,,,,,,,,,,,,,,C,,,
D1,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D2,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D3,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D4,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D5,6V,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D6,6V,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D7,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D8,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D9,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
D10,3V6,DZMELF,DMELF,Zener diode,,,,,,,,,,,,,,,,,,
IC1,THN10-2411WIR,THL_20WI_SERIES,THL_20WI_SERIES,TRACO POWER DC/DC converter THL 20WI Series,,,NO,,,,,,,,,,,,,,,
IC2,MCP6064-E/SL,MCP604SL,SO14,Quad Op Amp 2.7V to 6.0V Single Supply CMOS,,,,,,,,,,,,1,,,,,,
IC3,MCP6064-E/SL,MCP604SL,SO14,Quad Op Amp 2.7V to 6.0V Single Supply CMOS,,,,,,,,,,,,1,,,,,,
IC4,MCP6064-E/SL,MCP604SL,SO14,Quad Op Amp 2.7V to 6.0V Single Supply CMOS,,,,,,,,,,,,1,,,,,,
IC5,MAX488CSA,MAX488CSA,SO08,RS485 TRANSEIVER,,,,,MAXIM,MAX488CSA,3534170,34C3921,,,,1,,,,,,
IC6,MOCD207MSOIC-8,MOCD207MSOIC-8,SOIC127P594X363-8N,8- pin SOIC Dual-Channel Phototransistor Output Optocoupler,Opto-Electronic,,,ON Semiconductor,,MOCD207M,,,,-40 to +100 °C,Active,,RoHS3 Compliant,,,OptoCoupler,0.24W,
IC7,MOCD207MSOIC-8,MOCD207MSOIC-8,SOIC127P594X363-8N,8- pin SOIC Dual-Channel Phototransistor Output Optocoupler,Opto-Electronic,,,ON Semiconductor,,MOCD207M,,,,-40 to +100 °C,Active,,RoHS3 Compliant,,,OptoCoupler,0.24W,
IC8,MOCD207MSOIC-8,MOCD207MSOIC-8,SOIC127P594X363-8N,8- pin SOIC Dual-Channel Phototransistor Output Optocoupler,Opto-Electronic,,,ON Semiconductor,,MOCD207M,,,,-40 to +100 °C,Active,,RoHS3 Compliant,,,OptoCoupler,0.24W,
IC9,MCP6064-E/SL,MCP604SL,SO14,Quad Op Amp 2.7V to 6.0V Single Supply CMOS,,,,,,,,,,,,1,,,,,,
IC10,MCP6064-E/SL,MCP604SL,SO14,Quad Op Amp 2.7V to 6.0V Single Supply CMOS,,,,,,,,,,,,1,,,,,,
IC12,LM78L05AIM/NOPB,LM78L05AIM/NOPB,SOIC8,,,,,,,,,,,,,,,,,,,
IC13,CH340G,CH340G,SOIC16,,,,,,,,,,,,,,,,,,,
JP1,JUMPER-SMT_2_NC_PASTE_SILK,JUMPER-SMT_2_NC_PASTE_SILK,SMT-JUMPER_2_NC_PASTE_SILK,Normally closed solder jumper,,,,,,,,,,,,,,,,,,
L1,1m,L-EUL5650M,L5650M,"INDUCTOR, European symbol",,,,,,,,,,,,0,,,L,,,
L2,1m,L-EUL5650M,L5650M,"INDUCTOR, European symbol",,,,,,,,,,,,0,,,L,,,
L3,1m,L-EUL5650M,L5650M,"INDUCTOR, European symbol",,,,,,,,,,,,0,,,L,,,
L4,1m,L-EUL5650M,L5650M,"INDUCTOR, European symbol",,,,,,,,,,,,0,,,L,,,
L5,1m,L-EUL5650M,L5650M,"INDUCTOR, European symbol",,,,,,,,,,,,0,,,L,,,
LED1,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
LED2,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
LED3,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
LED4,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
LED5,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
LED6,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
LED7,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
LED8,,LEDCHIP-LED0603,CHIP-LED0603,LED,,,,,,,,,,,,,,,,,,
Q1,12MHz,CRYSTALSM49,SM49,CRYSTAL,,,,,,,unknown,unknown,,,,,,,,,,
R1,100k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R2,1k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R3,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R4,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R5,100k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R6,1k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R7,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R8,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R9,20k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R10,500,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,
R11,3k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R12,3k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R13,~10k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R14,~10k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R15,500,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,
R16,3k3,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,
R17,3k3,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,
R18,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R19,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R20,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R21,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R22,100k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R23,1k,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R24,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
R25,?,R-EU_R0805,R0805,"RESISTOR, European symbol",,,,,,,,,,,,86,,,R,,,
RN1,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN2,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN3,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN4,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN5,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN6,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN7,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN8,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN9,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN10,270,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN11,3k,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN12,1k,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN13,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN14,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN15,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN16,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN17,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
RN18,?,4R-NEXBS8V,EXBS8V,Array Chip Resistor,,,,,,,unknown,unknown,,,,0,,,,,,
U1,ADR366WAUJZ,ADR36_UJZ,SOT23-5,ADR360 (ADR360 ADR361 ADR363 ADR364 ADR365 ADR366 A|B UJZ) 5-Lead TSOT,,,,,,,,,,,,,,,,,,
U2,ADR366WAUJZ,ADR36_UJZ,SOT23-5,ADR360 (ADR360 ADR361 ADR363 ADR364 ADR365 ADR366 A|B UJZ) 5-Lead TSOT,,,,,,,,,,,,,,,,,,
U3,ADS1148QPWRQ1,ADS1148QPWRQ1,TSSOP28,,,,,,,,,,,,,,,,,,,
U4,ADS1148QPWRQ1,ADS1148QPWRQ1,TSSOP28,,,,,,,,,,,,,,,,,,,
U5,ADS1148QPWRQ1,ADS1148QPWRQ1,TSSOP28,,,,,,,,,,,,,,,,,,,
U6,LT1528,LT1528,Q5-DD,LT1528,,,,,,,,,,,,,,,,,,
U7,S70FL01GS,S70FL01GS,SO16,,,,,,,,,,,,,,,,,,,
U8,S70FL01GS,S70FL01GS,SO16,,,,,,,,,,,,,,,,,,,
U9,STM32F77XXXLQFP208,STM32F77XXXLQFP208,QFP50P3060X3060X385-208,,,,,,,,,,,,,,,,,,,
U10,ADS1148QPWRQ1,ADS1148QPWRQ1,TSSOP28,,,,,,,,,,,,,,,,,,,
U11,ADS1148QPWRQ1,ADS1148QPWRQ1,TSSOP28,,,,,,,,,,,,,,,,,,,
U12,ADS1148QPWRQ1,ADS1148QPWRQ1,TSSOP28,,,,,,,,,,,,,,,,,,,
U13,ADR366WAUJZ,ADR36_UJZ,SOT23-5,ADR360 (ADR360 ADR361 ADR363 ADR364 ADR365 ADR366 A|B UJZ) 5-Lead TSOT,,,,,,,,,,,,,,,,,,
X1,D-SUB9-H5M09RA,D-SUB9-H5M09RA,H5M09RA,D-Subminiatur Connector,,,,,,,unknown,unknown,,,,1,,,,,,
X2,D-SUB15-H5M15RA,D-SUB15-H5M15RA,H5M15RA,D-Subminiatur Connector,,,,,TYCO ELECTRONICS,H5M15RA29C,unknown,93F8315,,,,0,,,,,,
X3,USBPTH,USBPTH,USB-B-PTH,USB Connectors,,,,,,,,,,,,,,,,,,
X_IN_1,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_2,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_3,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_4,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_5,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_6,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_7,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_8,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_9,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_10,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_11,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_12,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_13,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_14,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_IN_15,,SMACONNECTOR_EDGE,SMA_EDGELAUNCH,SMA Connector,,,,,,,,,,,,,,,,,,
X_PROG,,MA07-2,MA07-2,PIN HEADER,,,,,,,unknown,unknown,,,,1,,,,,,
